track,album,album_release_year,period,period_year,period_month,country,platform,playcount,royalty
track_00,album_01,2021,2023/12,2023,12,People's Republic of China,Kuwo,1,0.1178959783
track_00,album_01,2021,2024/05,2024,5,People's Republic of China,"NetEase(Hangzhou) Network Co., Ltd",1,0.0476922355
track_00,album_01,2021,2024/09,2024,9,Afghanistan,Facebook,1,0.00015150908333333335
track_00,album_01,2021,2024/09,2024,9,Albania,Facebook,96,0.005808561833333333
track_00,album_01,2021,2024/09,2024,9,Algeria,Facebook,131,0.0023044633333333337
track_00,album_01,2021,2024/09,2024,9,Angola,Facebook,5,0.0009348630833333333
track_00,album_01,2021,2024/09,2024,9,Argentina,Facebook,607,0.06277430916666665
track_00,album_01,2021,2024/09,2024,9,Armenia,Facebook,3512,0.15942332550000002
track_00,album_01,2021,2024/09,2024,9,Australia,Facebook,1273,0.9948065389166666
track_00,album_01,2021,2024/09,2024,9,Austria,Facebook,1534,0.8183136388333334
track_00,album_01,2021,2024/09,2024,9,Bangladesh,Facebook,91,0.00012528458333333333
track_00,album_01,2021,2024/09,2024,9,Belgium,Facebook,775,0.43258444316666667
track_00,album_01,2021,2024/09,2024,9,Belize,Facebook,2,4.293858333333333e-05
track_00,album_01,2021,2024/09,2024,9,Bermuda,Facebook,1,0.00044890091666666663
track_00,album_01,2021,2024/09,2024,9,Bolivia,Facebook,19,0.00042214283333333335
track_00,album_01,2021,2024/09,2024,9,Bosnia and Herzegovina,Facebook,42,0.0021265021666666663
track_00,album_01,2021,2024/09,2024,9,Botswana,Facebook,3,0.000559802
track_00,album_01,2021,2024/09,2024,9,Brazil,Facebook,861,0.05971288108333334
track_00,album_01,2021,2024/09,2024,9,Brunei,Facebook,1,0.00074375825
track_00,album_01,2021,2024/09,2024,9,Bulgaria,Facebook,767,0.11622240633333333
track_00,album_01,2021,2024/09,2024,9,Burkina Faso,Facebook,3,0.000315283
track_00,album_01,2021,2024/09,2024,9,Cambodia,Facebook,21,0.00129087175
track_00,album_01,2021,2024/09,2024,9,Cameroon,Facebook,9,0.0011736774166666666
track_00,album_01,2021,2024/09,2024,9,Canada,Facebook,4004,2.3715247204166667
track_00,album_01,2021,2024/09,2024,9,Cape Verde,Facebook,1,1.116625e-05
track_00,album_01,2021,2024/09,2024,9,Cayman Islands,Facebook,1,0.0002764483333333333
track_00,album_01,2021,2024/09,2024,9,Chile,Facebook,142,0.03530811091666667
track_00,album_01,2021,2024/09,2024,9,Colombia,Facebook,103,0.0024648395
track_00,album_01,2021,2024/09,2024,9,Costa Rica,Facebook,35,0.0015411661666666666
track_00,album_01,2021,2024/09,2024,9,Croatia,Facebook,185,0.025409738
track_00,album_01,2021,2024/09,2024,9,Cyprus,Facebook,1459,0.18155332508333333
track_00,album_01,2021,2024/09,2024,9,Czech Republic,Facebook,2617,0.674015561
track_00,album_01,2021,2024/09,2024,9,Denmark,Facebook,5722,3.6497793001666667
track_00,album_01,2021,2024/09,2024,9,Dominica,Facebook,3,0.00015864200000000002
track_00,album_01,2021,2024/09,2024,9,Dominican Republic,Facebook,32,0.0014373744166666666
track_00,album_01,2021,2024/09,2024,9,Ecuador,Facebook,28,0.0008335039166666667
track_00,album_01,2021,2024/09,2024,9,Egypt,Facebook,963,0.014016189833333333
track_00,album_01,2021,2024/09,2024,9,El Salvador,Facebook,15,0.00032813633333333335
track_00,album_01,2021,2024/09,2024,9,Estonia,Facebook,1943,0.688254683
track_00,album_01,2021,2024/09,2024,9,Finland,Facebook,2246,1.4353484727499999
track_00,album_01,2021,2024/09,2024,9,France,Facebook,7102,5.10825085225
track_00,album_01,2021,2024/09,2024,9,Georgia,Facebook,6133,0.21899721325000002
track_00,album_01,2021,2024/09,2024,9,Germany,Facebook,35642,21.211288929
track_00,album_01,2021,2024/09,2024,9,Ghana,Facebook,14,0.0014986356666666666
track_00,album_01,2021,2024/09,2024,9,Gibraltar,Facebook,2,0.0009717280833333332
track_00,album_01,2021,2024/09,2024,9,Greece,Facebook,405,0.15896422341666666
track_00,album_01,2021,2024/09,2024,9,Greenland,Facebook,1,0.00042065975
track_00,album_01,2021,2024/09,2024,9,Grenada,Facebook,2,6.469033333333334e-05
track_00,album_01,2021,2024/09,2024,9,Guadeloupe,Facebook,1,0.0001370000833333333
track_00,album_01,2021,2024/09,2024,9,Guam,Facebook,1,0.00028005008333333335
track_00,album_01,2021,2024/09,2024,9,Guatemala,Facebook,23,0.0006363726666666666
track_00,album_01,2021,2024/09,2024,9,Guinea,Facebook,8,0.0005871172499999999
track_00,album_01,2021,2024/09,2024,9,Guyana,Facebook,1,8.916499999999999e-05
track_00,album_01,2021,2024/09,2024,9,Honduras,Facebook,16,0.00030735749999999997
track_00,album_01,2021,2024/09,2024,9,Hong Kong,Facebook,592,0.4751722871666667
track_00,album_01,2021,2024/09,2024,9,Hungary,Facebook,218,0.07970146158333334
track_00,album_01,2021,2024/09,2024,9,Iceland,Facebook,77,0.04972375025
track_00,album_01,2021,2024/09,2024,9,India,Facebook,1137,0.014356842083333335
track_00,album_01,2021,2024/09,2024,9,Indonesia,Facebook,1945,0.06920316508333332
track_00,album_01,2021,2024/09,2024,9,Iraq,Facebook,206,0.003664992583333333
track_00,album_01,2021,2024/09,2024,9,Ireland,Facebook,850,0.3811908288333334
track_00,album_01,2021,2024/09,2024,9,Isle of Man,Facebook,1,0.0010734795833333333
track_00,album_01,2021,2024/09,2024,9,Israel,Facebook,3755,0.9214767054999999
track_00,album_01,2021,2024/09,2024,9,Italy,Facebook,3125,1.12686431125
