series_name,season,title,imdb,engagement,date_aired,run_time,monster_type
"Scooby Doo, Where Are You!",1,What a Night for a Knight,8.1,556.0,1969-09-13,21,Possessed Object
"Scooby Doo, Where Are You!",1,A Clue for Scooby Doo,8.1,479.0,1969-09-20,22,Ghost
"Scooby Doo, Where Are You!",1,Hassle in the Castle,8.0,455.0,1969-09-27,21,Ghost
"Scooby Doo, Where Are You!",1,Mine Your Own Business,7.8,426.0,1969-10-04,21,Ancient
"Scooby Doo, Where Are You!",1,Decoy for a Dognapper,7.5,391.0,1969-10-11,21,Ancient
"Scooby Doo, Where Are You!",1,What the Hex Going On?,8.4,384.0,1969-10-18,21,Ghost
"Scooby Doo, Where Are You!",1,Never Ape an Ape Man,7.6,358.0,1969-10-25,21,Animal
"Scooby Doo, Where Are You!",1,Foul Play in Funland,8.2,358.0,1969-11-01,21,Mechanical
"Scooby Doo, Where Are You!",1,The Backstage Rage,8.1,371.0,1969-11-08,21,Ghost
"Scooby Doo, Where Are You!",1,Bedlam in the Big Top,8.0,346.0,1969-11-15,21,Ghost
"Scooby Doo, Where Are You!",1,A Gaggle of Galloping Ghosts,8.5,379.0,1969-11-22,21,"Undead,Animal"
"Scooby Doo, Where Are You!",1,"Scooby-Doo and a Mummy, Too",8.2,358.0,1969-11-29,21,Undead
"Scooby Doo, Where Are You!",1,Which Witch is Which,8.4,356.0,1969-12-06,21,"Magician,Undead"
"Scooby Doo, Where Are You!",1,Go Away Ghost Ship,8.1,331.0,1969-12-13,22,Ghost
"Scooby Doo, Where Are You!",1,Spooky Space Kook,8.4,372.0,1969-12-20,21,Extraterrestrial
"Scooby Doo, Where Are You!",1,A Night of Fright Is No Delight,8.7,403.0,1970-01-10,21,Ghost
"Scooby Doo, Where Are You!",1,That's Snow Ghost,8.0,328.0,1970-01-17,21,Ghost
"Scooby Doo, Where Are You!",2,Nowhere to Hyde,8.3,322.0,1970-09-12,21,Ghost
"Scooby Doo, Where Are You!",2,Mystery Mask Mix-Up,7.8,312.0,1970-09-19,21,Ghost
"Scooby Doo, Where Are You!",2,Scooby's Night with a Frozen Fright,7.7,301.0,1970-09-26,21,Ancient
"Scooby Doo, Where Are You!",2,"Jeepers, It's the Creeper",8.5,347.0,1970-10-03,21,Ghost
"Scooby Doo, Where Are You!",2,Haunted House Hang-Up,8.4,303.0,1970-10-10,21,Ghost
"Scooby Doo, Where Are You!",2,A Tiki Scare Is No Fair,7.9,292.0,1970-10-17,21,"Ancient,Possessed Object"
"Scooby Doo, Where Are You!",2,Who's Afraid of the Big Bad Werewolf?,8.2,292.0,1970-10-24,21,Animal
"Scooby Doo, Where Are You!",2,Don't Fool with a Phantom,7.9,282.0,1970-10-31,21,Ghost
The New Scooby-Doo Movies,1,The Ghastly Ghost Town,6.9,138.0,1972-09-09,43,"Ancient,Plant,Mechanical,Animal"
The New Scooby-Doo Movies,1,The Dynamic Scooby-Doo Affair,7.8,232.0,1972-09-16,41,"Skeleton,Disguised"
The New Scooby-Doo Movies,1,Wednesday Is Missing,7.9,119.0,1972-09-23,41,Animal
The New Scooby-Doo Movies,1,The Frickert Fracas,7.9,116.0,1972-09-30,43,Possessed Object
The New Scooby-Doo Movies,1,Guess Who's Knott Coming to Dinner?,7.9,111.0,1972-10-07,43,Ghost
The New Scooby-Doo Movies,1,A Good Medium Is Rare,7.7,88.0,1972-10-14,41,"Possessed Object,Ghost"
The New Scooby-Doo Movies,1,Sandy Duncan's Jekyll and Hyde,7.8,90.0,1972-10-21,41,"Animal,Ghost,Undead,Ancient,Disguised"
The New Scooby-Doo Movies,1,The Secret of Shark Island,8.5,109.0,1972-10-28,41,Animal
The New Scooby-Doo Movies,1,The Spooky Fog of Juneberry,7.7,96.0,1972-11-04,43,"Ancient,Ghost,Undead"
The New Scooby-Doo Movies,1,The Ghost of Bigfoot,8.3,118.0,1972-11-11,43,Ghost
The New Scooby-Doo Movies,1,The Ghost of the Red Baron,7.6,86.0,1972-11-18,43,Ghost
The New Scooby-Doo Movies,1,The Ghostly Creep from the Deep,7.4,90.0,1972-11-25,43,Ghost
The New Scooby-Doo Movies,1,The Haunted Horseman of Hagglethorn Hall,7.8,86.0,1972-12-02,41,"Animal,Ghost"
The New Scooby-Doo Movies,1,The Phantom of the Country Music Hall,7.6,81.0,1972-12-09,41,Possessed Object
The New Scooby-Doo Movies,1,The Caped Crusader Caper,7.2,183.0,1972-12-16,43,Mythical
The New Scooby-Doo Movies,1,The Lochness Mess,7.9,114.0,1972-12-23,43,"Mythical,Ghost"
The New Scooby-Doo Movies,2,The Mystery of Haunted Island,7.4,103.0,1973-09-08,44,Ghost
The New Scooby-Doo Movies,2,The Haunted Showboat,7.9,82.0,1973-09-15,43,Ghost
The New Scooby-Doo Movies,2,Mystery in Persia,7.5,82.0,1973-09-22,43,Mythical
The New Scooby-Doo Movies,2,The Spirited Spooked Sports Show,7.4,73.0,1973-09-29,43,Ghost
The New Scooby-Doo Movies,2,The Exterminator,7.6,85.0,1973-10-06,44,"Disguise,Animal,Ghost,Undead,Disguised"
The New Scooby-Doo Movies,2,The Weird Winds of Winona,7.3,91.0,1973-10-13,44,Disguised
The New Scooby-Doo Movies,2,The Haunted Candy Factory,7.8,104.0,1973-10-20,43,Possessed Object
The New Scooby-Doo Movies,2,The Haunted Carnival,7.6,92.0,1973-10-27,43,Ghost
